delete,Frequency,Card_name
1 Skyclave Apparition,1, Skyclave Apparition
3 Endurance,3, Endurance
2 Force of Vigor,2, Force of Vigor
1 Keen-Eyed Curator,1, Keen-Eyed Curator
4 Thoughtseize,4, Thoughtseize
1 Bleachbone Verge,1, Bleachbone Verge
2 Boggart Trawler,2, Boggart Trawler
1 Bleachbone Verge,1, Bleachbone Verge
"2 Phelia, Exuberant Shepherd",2," Phelia, Exuberant Shepherd"
3 Ephemerate,3, Ephemerate
2 Marsh Flats,2, Marsh Flats
4 Solitude,4, Solitude
3 Godless Shrine,3, Godless Shrine
2 Marsh Flats,2, Marsh Flats
4 Overlord of the Balemurk,4, Overlord of the Balemurk
4 Fatal Push,4, Fatal Push
1 Relic of Progenitus,1, Relic of Progenitus
1 Swamp,1, Swamp
2 Relic of Progenitus,2, Relic of Progenitus
3 Witch Enchanter,3, Witch Enchanter
2 Plains,2, Plains
1 Windswept Heath,1, Windswept Heath
1 Windswept Heath,1, Windswept Heath
"2 Phelia, Exuberant Shepherd",2," Phelia, Exuberant Shepherd"
3 Flickerwisp,3, Flickerwisp
2 Shadowy Backstreet,2, Shadowy Backstreet
2 Arid Mesa,2, Arid Mesa
4 Thoughtseize,4, Thoughtseize
4 Dauthi Voidwalker,4, Dauthi Voidwalker
"4 Ketramose, the New Dawn",4," Ketramose, the New Dawn"
2 Wrath of the Skies,2, Wrath of the Skies
2 Vindicate,2, Vindicate
1 Ray of Enfeeblement,1, Ray of Enfeeblement
3 Aven Interrupter,3, Aven Interrupter
1 Wrath of the Skies,1, Wrath of the Skies
2 Stony Silence,2, Stony Silence
3 White Orchid Phantom,3, White Orchid Phantom
1 Stony Silence,1, Stony Silence
"4 Ajani, Nacatl Pariah",4," Ajani, Nacatl Pariah"
4 Arid Mesa,4, Arid Mesa
2 Elegant Parlor,2, Elegant Parlor
2 Flooded Strand,2, Flooded Strand
2 Flooded Strand,2, Flooded Strand
4 Galvanic Discharge,4, Galvanic Discharge
"3 Ragavan, Nimble Pilferer",3," Ragavan, Nimble Pilferer"
4 Guide of Souls,4, Guide of Souls
1 March of Otherworldly Light,1, March of Otherworldly Light
1 Plains,1, Plains
4 Ocelot Pride,4, Ocelot Pride
"4 Phlage, Titan of Fire's Fury",4," Phlage, Titan of Fire's Fury"
1 Plains,1, Plains
3 Sacred Foundry,3, Sacred Foundry
2 Ranger-Captain of Eos,2, Ranger-Captain of Eos
4 Seasoned Pyromancer,4, Seasoned Pyromancer
4 Windswept Heath,4, Windswept Heath
2 Static Prison,2, Static Prison
2 Thraben Charm,2, Thraben Charm
1 Mountain,1, Mountain
3 Arena of Glory,3, Arena of Glory
3 Goblin Bombardment,3, Goblin Bombardment
1 March of Otherworldly Light,1, March of Otherworldly Light
4 Molten Rain,4, Molten Rain
1 Showdown of the Skalds,1, Showdown of the Skalds
3 Stony Silence,3, Stony Silence
2 Wear // Tear,2, Wear // Tear
2 Wrath of the Skies,2, Wrath of the Skies
2 Orim's Chant,2, Orim's Chant
1 Breeding Pool,1, Breeding Pool
4 Mishra's Bauble,4, Mishra's Bauble
1 Flame of Anor,1, Flame of Anor
3 Grinding Station,3, Grinding Station
1 Haywire Mite,1, Haywire Mite
1 Hedge Maze,1, Hedge Maze
1 Mountain,1, Mountain
2 Lightning Bolt,2, Lightning Bolt
4 Malevolent Rumble,4, Malevolent Rumble
2 Misty Rainforest,2, Misty Rainforest
4 Scalding Tarn,4, Scalding Tarn
1 Island,1, Island
3 Mox Amber,3, Mox Amber
4 Mox Opal,4, Mox Opal
"1 Otawara, Soaring City",1," Otawara, Soaring City"
"4 Emry, Lurker of the Loch",4," Emry, Lurker of the Loch"
2 Preordain,2, Preordain
1 Aether Spellbomb,1, Aether Spellbomb
1 Shifting Woodland,1, Shifting Woodland
1 Sink into Stupor,1, Sink into Stupor
1 Soul-Guide Lantern,1, Soul-Guide Lantern
1 Steam Vents,1, Steam Vents
1 Stomping Ground,1, Stomping Ground
1 Swan Song,1, Swan Song
"4 Tamiyo, Inquisitive Student",4," Tamiyo, Inquisitive Student"
1 Thassa's Oracle,1, Thassa's Oracle
1 Thundering Falls,1, Thundering Falls
4 Underworld Breach,4, Underworld Breach
3 Urza's Saga,3, Urza's Saga
1 Wooded Foothills,1, Wooded Foothills
"1 Boseiju, Who Endures",1," Boseiju, Who Endures"
4 Consign to Memory,4, Consign to Memory
1 Dismember,1, Dismember
1 Firespout,1, Firespout
1 Flame of Anor,1, Flame of Anor
"1 Jace, Wielder of Mysteries",1," Jace, Wielder of Mysteries"
2 Nature's Claim,2, Nature's Claim
1 Spell Snare,1, Spell Snare
1 Stock Up,1, Stock Up
1 Swan Song,1, Swan Song
1 Unholy Heat,1, Unholy Heat
4 Beyeen Veil,4, Beyeen Veil
4 Disrupting Shoal,4, Disrupting Shoal
4 Fallaji Archaeologist,4, Fallaji Archaeologist
4 Flare of Denial,4, Flare of Denial
4 Goblin Charbelcher,4, Goblin Charbelcher
4 Hydroelectric Specimen,4, Hydroelectric Specimen
4 Jwari Disruption,4, Jwari Disruption
4 Lotus Bloom,4, Lotus Bloom
4 Sea Gate Restoration,4, Sea Gate Restoration
4 Sink into Stupor,4, Sink into Stupor
3 Spell Snare,3, Spell Snare
1 Stern Scolding,1, Stern Scolding
4 Suppression Ray,4, Suppression Ray
"4 Tameshi, Reality Architect",4," Tameshi, Reality Architect"
4 Thundertrap Trainer,4, Thundertrap Trainer
4 Whir of Invention,4, Whir of Invention
3 Consign to Memory,3, Consign to Memory
1 Mountain,1, Mountain
2 Harbinger of the Seas,2, Harbinger of the Seas
2 Hurkyl's Recall,2, Hurkyl's Recall
2 Into the Flood Maw,2, Into the Flood Maw
1 Grafdigger's Cage,1, Grafdigger's Cage
1 Portable Hole,1, Portable Hole
3 Unable to Scream,3, Unable to Scream
"1 Kaheera, the Orphanguard",1," Kaheera, the Orphanguard"
"3 Teferi, Time Raveler",3," Teferi, Time Raveler"
2 Meticulous Archive,2, Meticulous Archive
2 Day's Undoing,2, Day's Undoing
3 Prismatic Ending,3, Prismatic Ending
1 Geier Reach Sanitarium,1, Geier Reach Sanitarium
1 Hall of Storm Giants,1, Hall of Storm Giants
2 Hallowed Fountain,2, Hallowed Fountain
2 Lorien Revealed,2, Lorien Revealed
2 Mystic Gate,2, Mystic Gate
1 Monumental Henge,1, Monumental Henge
4 Orim's Chant,4, Orim's Chant
"4 Narset, Parter of Veils",4," Narset, Parter of Veils"
1 Breeding Pool,1, Breeding Pool
"1 Otawara, Soaring City",1," Otawara, Soaring City"
1 Hedge Maze,1, Hedge Maze
4 Flooded Strand,4, Flooded Strand
"2 Teferi, Hero of Dominaria",2," Teferi, Hero of Dominaria"
2 Island,2, Island
3 Supreme Verdict,3, Supreme Verdict
2 Scalding Tarn,2, Scalding Tarn
2 Plains,2, Plains
4 Counterspell,4, Counterspell
2 Windswept Heath,2, Windswept Heath
4 Solitude,4, Solitude
1 Force of Negation,1, Force of Negation
3 Spell Snare,3, Spell Snare
1 Opt,1, Opt
2 Celestial Purge,2, Celestial Purge
4 Consign to Memory,4, Consign to Memory
2 Mystical Dispute,2, Mystical Dispute
1 Stony Silence,1, Stony Silence
2 Subtlety,2, Subtlety
"1 Kaheera, the Orphanguard",1," Kaheera, the Orphanguard"
2 Rest in Peace,2, Rest in Peace
1 Force of Negation,1, Force of Negation
1 Mountain,1, Mountain
2 Plains,2, Plains
4 Arid Mesa,4, Arid Mesa
3 Sacred Foundry,3, Sacred Foundry
4 Flooded Strand,4, Flooded Strand
1 Ranger-Captain of Eos,1, Ranger-Captain of Eos
4 Seasoned Pyromancer,4, Seasoned Pyromancer
"3 Ragavan, Nimble Pilferer",3," Ragavan, Nimble Pilferer"
4 Marsh Flats,4, Marsh Flats
3 Goblin Bombardment,3, Goblin Bombardment
2 Elegant Parlor,2, Elegant Parlor
4 Guide of Souls,4, Guide of Souls
2 Static Prison,2, Static Prison
2 Thraben Charm,2, Thraben Charm
4 Galvanic Discharge,4, Galvanic Discharge
"4 Phlage, Titan of Fire's Fury",4," Phlage, Titan of Fire's Fury"
3 Arena of Glory,3, Arena of Glory
"4 Ajani, Nacatl Pariah",4," Ajani, Nacatl Pariah"
4 Ocelot Pride,4, Ocelot Pride
2 Screaming Nemesis,2, Screaming Nemesis
4 Molten Rain,4, Molten Rain
2 Orim's Chant,2, Orim's Chant
2 Wear // Tear,2, Wear // Tear
3 Roiling Vortex,3, Roiling Vortex
1 March of Otherworldly Light,1, March of Otherworldly Light
2 Wrath of the Skies,2, Wrath of the Skies
1 Ghost Vacuum,1, Ghost Vacuum
4 Scalding Tarn,4, Scalding Tarn
1 Stomping Ground,1, Stomping Ground
"3 Emry, Lurker of the Loch",3," Emry, Lurker of the Loch"
3 Grinding Station,3, Grinding Station
4 Mishra's Bauble,4, Mishra's Bauble
4 Malevolent Rumble,4, Malevolent Rumble
1 Hedge Maze,1, Hedge Maze
4 Mox Opal,4, Mox Opal
3 Mox Amber,3, Mox Amber
1 Swan Song,1, Swan Song
1 Grapeshot,1, Grapeshot
1 Steam Vents,1, Steam Vents
1 Breeding Pool,1, Breeding Pool
1 Thassa's Oracle,1, Thassa's Oracle
1 Thundering Falls,1, Thundering Falls
4 Underworld Breach,4, Underworld Breach
3 Urza's Saga,3, Urza's Saga
1 Flame of Anor,1, Flame of Anor
1 Haywire Mite,1, Haywire Mite
1 Soul-Guide Lantern,1, Soul-Guide Lantern
1 Lightning Bolt,1, Lightning Bolt
1 Sink into Stupor,1, Sink into Stupor
1 Pithing Needle,1, Pithing Needle
"4 Tamiyo, Inquisitive Student",4," Tamiyo, Inquisitive Student"
4 Misty Rainforest,4, Misty Rainforest
1 Island,1, Island
4 Preordain,4, Preordain
"1 Otawara, Soaring City",1," Otawara, Soaring City"
2 Nature's Claim,2, Nature's Claim
1 Flame of Anor,1, Flame of Anor
4 Consign to Memory,4, Consign to Memory
1 Strix Serenade,1, Strix Serenade
"1 Boseiju, Who Endures",1," Boseiju, Who Endures"
1 Firespout,1, Firespout
1 Swan Song,1, Swan Song
1 Mountain,1, Mountain
1 Aether Spellbomb,1, Aether Spellbomb
1 Lightning Bolt,1, Lightning Bolt
1 Stock Up,1, Stock Up
2 Plains,2, Plains
1 Swamp,1, Swamp
3 Relic of Progenitus,3, Relic of Progenitus
2 Godless Shrine,2, Godless Shrine
1 Sacred Foundry,1, Sacred Foundry
1 Thoughtseize,1, Thoughtseize
4 Fatal Push,4, Fatal Push
3 Ephemerate,3, Ephemerate
2 Prismatic Ending,2, Prismatic Ending
4 Marsh Flats,4, Marsh Flats
4 Arid Mesa,4, Arid Mesa
4 Solitude,4, Solitude
4 Flickerwisp,4, Flickerwisp
2 Shadowy Backstreet,2, Shadowy Backstreet
"4 Phelia, Exuberant Shepherd",4," Phelia, Exuberant Shepherd"
2 Emperor of Bones,2, Emperor of Bones
3 Witch Enchanter,3, Witch Enchanter
2 Boggart Trawler,2, Boggart Trawler
2 Overlord of the Mistmoors,2, Overlord of the Mistmoors
4 Overlord of the Balemurk,4, Overlord of the Balemurk
"4 Ketramose, the New Dawn",4," Ketramose, the New Dawn"
2 Bleachbone Verge,2, Bleachbone Verge
2 Thoughtseize,2, Thoughtseize
2 Drannith Magistrate,2, Drannith Magistrate
2 Vindicate,2, Vindicate
1 Ray of Enfeeblement,1, Ray of Enfeeblement
3 Aven Interrupter,3, Aven Interrupter
3 White Orchid Phantom,3, White Orchid Phantom
2 Wrath of the Skies,2, Wrath of the Skies
2 Plains,2, Plains
4 Overlord of the Balemurk,4, Overlord of the Balemurk
2 Boggart Trawler,2, Boggart Trawler
2 Emperor of Bones,2, Emperor of Bones
3 Ephemerate,3, Ephemerate
4 Marsh Flats,4, Marsh Flats
4 Flickerwisp,4, Flickerwisp
2 Shadowy Backstreet,2, Shadowy Backstreet
2 Overlord of the Mistmoors,2, Overlord of the Mistmoors
"4 Phelia, Exuberant Shepherd",4," Phelia, Exuberant Shepherd"
4 Fatal Push,4, Fatal Push
2 Prismatic Ending,2, Prismatic Ending
1 Thoughtseize,1, Thoughtseize
4 Arid Mesa,4, Arid Mesa
3 Relic of Progenitus,3, Relic of Progenitus
3 Witch Enchanter,3, Witch Enchanter
"4 Ketramose, the New Dawn",4," Ketramose, the New Dawn"
4 Solitude,4, Solitude
1 Swamp,1, Swamp
2 Godless Shrine,2, Godless Shrine
2 Bleachbone Verge,2, Bleachbone Verge
1 Sacred Foundry,1, Sacred Foundry
2 Wrath of the Skies,2, Wrath of the Skies
3 Aven Interrupter,3, Aven Interrupter
3 White Orchid Phantom,3, White Orchid Phantom
2 Vindicate,2, Vindicate
2 Thoughtseize,2, Thoughtseize
2 Drannith Magistrate,2, Drannith Magistrate
1 Ray of Enfeeblement,1, Ray of Enfeeblement
1 Plains,1, Plains
"4 Ajani, Nacatl Pariah",4," Ajani, Nacatl Pariah"
2 Elegant Parlor,2, Elegant Parlor
"3 Ragavan, Nimble Pilferer",3," Ragavan, Nimble Pilferer"
2 Ranger-Captain of Eos,2, Ranger-Captain of Eos
3 Goblin Bombardment,3, Goblin Bombardment
4 Galvanic Discharge,4, Galvanic Discharge
2 Thraben Charm,2, Thraben Charm
2 Static Prison,2, Static Prison
4 Ocelot Pride,4, Ocelot Pride
4 Windswept Heath,4, Windswept Heath
1 Mountain,1, Mountain
4 Flooded Strand,4, Flooded Strand
4 Seasoned Pyromancer,4, Seasoned Pyromancer
1 March of Otherworldly Light,1, March of Otherworldly Light
4 Guide of Souls,4, Guide of Souls
1 Plains,1, Plains
4 Arid Mesa,4, Arid Mesa
3 Sacred Foundry,3, Sacred Foundry
3 Arena of Glory,3, Arena of Glory
"4 Phlage, Titan of Fire's Fury",4," Phlage, Titan of Fire's Fury"
3 Stony Silence,3, Stony Silence
2 Wear // Tear,2, Wear // Tear
1 Showdown of the Skalds,1, Showdown of the Skalds
1 March of Otherworldly Light,1, March of Otherworldly Light
2 Orim's Chant,2, Orim's Chant
2 Wrath of the Skies,2, Wrath of the Skies
4 Molten Rain,4, Molten Rain
3 Archmage's Charm,3, Archmage's Charm
4 Consign to Memory,4, Consign to Memory
3 Defabricate,3, Defabricate
3 Flagstones of Trokair,3, Flagstones of Trokair
3 Scalding Tarn,3, Scalding Tarn
2 Prismatic Ending,2, Prismatic Ending
2 Mystic Gate,2, Mystic Gate
2 Meticulous Archive,2, Meticulous Archive
1 Island,1, Island
4 Lotus Field,4, Lotus Field
2 Memory Deluge,2, Memory Deluge
1 Island,1, Island
1 Hedge Maze,1, Hedge Maze
1 Nexus of Fate,1, Nexus of Fate
4 Preordain,4, Preordain
1 Hallowed Fountain,1, Hallowed Fountain
4 Force of Negation,4, Force of Negation
4 Solitude,4, Solitude
4 Stock Up,4, Stock Up
"3 Tamiyo, Inquisitive Student",3," Tamiyo, Inquisitive Student"
4 Flooded Strand,4, Flooded Strand
1 Wrath of the Skies,1, Wrath of the Skies
"3 Teferi, Hero of Dominaria",3," Teferi, Hero of Dominaria"
1 Ceremonious Rejection,1, Ceremonious Rejection
2 Stern Scolding,2, Stern Scolding
1 Rest in Peace,1, Rest in Peace
2 Mystical Dispute,2, Mystical Dispute
1 Orim's Chant,1, Orim's Chant
"1 Emrakul, the Aeons Torn",1," Emrakul, the Aeons Torn"
"2 Elesh Norn, Mother of Machines",2," Elesh Norn, Mother of Machines"
1 Stony Silence,1, Stony Silence
2 Supreme Verdict,2, Supreme Verdict
2 Wrath of the Skies,2, Wrath of the Skies
3 Thoughtseize,3, Thoughtseize
2 Bleachbone Verge,2, Bleachbone Verge
2 Boggart Trawler,2, Boggart Trawler
3 Emperor of Bones,3, Emperor of Bones
4 Ephemerate,4, Ephemerate
1 Swamp,1, Swamp
2 Shadowy Backstreet,2, Shadowy Backstreet
2 Godless Shrine,2, Godless Shrine
"4 Ketramose, the New Dawn",4," Ketramose, the New Dawn"
1 Sacred Foundry,1, Sacred Foundry
4 Overlord of the Balemurk,4, Overlord of the Balemurk
"4 Phelia, Exuberant Shepherd",4," Phelia, Exuberant Shepherd"
2 Prismatic Ending,2, Prismatic Ending
2 Plains,2, Plains
3 Relic of Progenitus,3, Relic of Progenitus
4 Marsh Flats,4, Marsh Flats
2 Flickerwisp,2, Flickerwisp
4 Solitude,4, Solitude
4 Fatal Push,4, Fatal Push
4 Arid Mesa,4, Arid Mesa
3 Witch Enchanter,3, Witch Enchanter
2 Aven Interrupter,2, Aven Interrupter
1 Drannith Magistrate,1, Drannith Magistrate
"1 Elesh Norn, Mother of Machines",1," Elesh Norn, Mother of Machines"
1 Ray of Enfeeblement,1, Ray of Enfeeblement
2 Stony Silence,2, Stony Silence
2 Vindicate,2, Vindicate
4 White Orchid Phantom,4, White Orchid Phantom
2 Wrath of the Skies,2, Wrath of the Skies
,,
